Electronic
Electronic/Noise music/Harsh noise/Harsh noise wall
Electronic/Noise music/Power electronics
Electronic/Noise music/Power electronics/Death industrial
Electronic/Noise music/Power noise
Electronic/Plunderphonics
Electronic/Plunderphonics/Sampledelia
Electronic/Techno
Electronic/Techno/Acid techno
Electronic/Techno/Ambient techno
Electronic/Techno/Birmingham sound
Electronic/Techno/Bleep techno
Electronic/Techno/Detroit techno
Electronic/Techno/Dub techno
Electronic/Techno/Hardtechno
Electronic/Techno/Hardtechno/Free tekno
Electronic/Techno/Industrial techno
Electronic/Techno/Minimal techno
Electronic/Techno/Schaffel
Electronic/Techno/Toytown techno
Electronic/Trance music
Electronic/Trance music/Acid trance
Electronic/Trance music/Balearic trance
Electronic/Trance music/Dream trance
Electronic/Trance music/Euro-trance
Electronic/Trance music/Hard trance
Electronic/Trance music/Goa trance
Electronic/Trance music/Goa trance/Nitzhonot
Electronic/Trance music/Progressive trance
Electronic/Trance music/Psychedelic trance
Electronic/Trance music/Psychedelic trance/Dark psytrance
Electronic/Trance music/Psychedelic trance/Full-On
Electronic/Trance music/Psychedelic trance/Progressive psytrance
Electronic/Trance music/Psychedelic trance/Psybient
Electronic/Trance music/Psychedelic trance/Psydub
Electronic/Trance music/Psychedelic trance/Suomisaundi
Electronic/Trance music/Psychedelic trance/Zenonesque
Electronic/Trance music/Tech trance
Electronic/Trance music/Uplifting trance
Electronic/Trance music/Vocal trance
Electronic/UK garage
Electronic/UK garage/2-step garage
Electronic/UK garage/Bassline
Electronic/UK garage/Breakstep
Electronic/UK garage/Dubstep
Electronic/UK garage/Dubstep/Brostep
Electronic/UK garage/Dubstep/Brostep/Powwow-step/
Electronic/UK garage/Dubstep/Post-dubstep
Electronic/UK garage/Dubstep/Reggaestep
Electronic/UK garage/Dubstep/Riddim
Electronic/UK garage/Future garage
Electronic/UK garage/Grime
Electronic/UK garage/Grime/Grindie
Electronic/UK garage/Speed garage
Electronic/UK garage/UK funky
Electronic/UK garage/Wonky
Electronic/Video game music
Electronic/Video game music/Chiptune
Electronic/Video game music/Chiptune/Bitpop
Electronic/Video game music/Chiptune/Skweee
Electronic/Video game music/Chiptune/Nintendocore
Electronic/Video game music/FM synthesis
Electronic/Video game music/Sequencer music
